repo,language,bytes,percent
R2K16,GDB,227,0.0
R2K16,Sass,167,0.0
Rbx2Source-enhanced,C#,335902,98.2
Rbx2Source-enhanced,QuakeC,3337,1.0
Rbx2Source-enhanced,Lua,2418,0.7
Rbx2Source-enhanced,Batchfile,317,0.1
rdprxy,JavaScript,3953,82.4
rdprxy,Lua,842,17.6
RoBrowser,Luau,43359,90.0
RoBrowser,CSS,4836,10.0
ROT-1,JavaScript,23952,71.4
ROT-1,CSS,6604,19.7
ROT-1,HTML,2973,8.9
sand-box2d,JavaScript,6721,70.8
sand-box2d,HTML,1523,16.0
sand-box2d,CSS,1247,13.1
scrobbleviz,JavaScript,37131,74.7
scrobbleviz,HTML,12600,25.3
Servidor-Perfeito,HTML,3844,100.0
sigma-click,HTML,13478,100.0
slideshow-studio,C#,59465,100.0
Sonic4,C++,16929575,79.3
Sonic4,C,3908820,18.3
Sonic4,Pawn,241261,1.1
Sonic4,Objective-C++,146447,0.7
Sonic4,Objective-C,119638,0.6
Sonic4,CMake,153,0.0
steamlogger,Rust,70496,100.0
transition-plugin,Rust,1769,76.7
transition-plugin,C#,538,23.3
video-trimmer,C#,19619,100.0
VsDave,Haxe,446348,100.0
VsDave,Batchfile,109,0.0
WindowsMovieMakerDecomp,C++,6271950,92.0
WindowsMovieMakerDecomp,Python,292176,4.3
WindowsMovieMakerDecomp,C,174028,2.6
WindowsMovieMakerDecomp,CMake,45592,0.7
WindowsMovieMakerDecomp,C#,15287,0.2
WindowsMovieMakerDecomp,Batchfile,13954,0.2
WindowsMovieMakerDecomp,PowerShell,3670,0.1
